T,P,L,S,M
342,33,18,46,37799
433,30,16,54,37888
487,53,15,61,37954
596,31,13,51,38052
647,43,12,55,38109
702,39,11,74,38162
702,39,11,74,38162
776,79,10,69,38256
905,55,8,80,38373
905,55,8,80,38373
985,74,7,69,38462
1054,38,6,51,38513
1105,35,5,48,38563
1153,35,4,55,38611
1208,47,3,73,38672
1281,72,2,67,38757
1348,34,1,45,38805
1393,31,0,55,38849
1393,31,0,55,38849
8,50,26,82,38913
90,87,25,73,39014
163,31,24,49,39059
212,40,23,48,39112
260,28,22,44,39154
304,33,21,46,39201
350,32,20,44,39246
437,31,18,44,39333
481,29,17,85,39376
481,29,17,85,39376
566,117,16,97,39505
566,117,16,97,39505
717,37,14,52,39616
769,39,13,49,39669
818,38,12,51,39717
869,36,11,47,39767
916,32,10,48,39812
916,32,10,48,39812
1014,34,8,48,39911
1062,34,7,45,39959
1107,31,6,48,40003
1107,31,6,48,40003
1215,54,4,64,40122
1279,49,3,55,40184
1279,49,3,55,40184
1381,38,1,50,40280
1431,38,0,72,40330
1431,38,0,72,40330
133,35,24,46,40471
225,31,22,57,40561
225,31,22,57,40561
282,58,21,68,40631
350,53,20,53,40697
403,27,19,43,40737
446,34,18,61,40783
571,40,16,49,40911
620,33,15,51,40957
671,44,14,53,41013
724,38,13,54,41063
778,41,12,48,41119
826,29,11,45,41161
871,34,10,54,41208
925,50,9,58,41270
983,42,8,61,41324
1044,57,7,62,41393
1044,57,7,62,41393
1152,29,5,39,41487
1191,25,4,55,41524
1246,58,3,61,41595
1307,36,2,64,41645
1307,36,2,64,41645
1438,38,0,61,41777
1438,38,0,61,41777
59,59,21,73,41849
132,61,20,59,41923
191,32,19,92,41967
191,32,19,92,41967
283,124,18,104,42105
387,56,17,59,42175
446,36,16,59,42224
559,25,14,57,42332
912,49,8,60,42697
972,41,7,62,42753
1094,40,5,47,42874
1141,29,4,46,42916
1187,31,3,76,42963
1187,31,3,76,42963
1263,94,2,82,43070
1345,44,1,52,43127
1397,33,0,43,43174
0,26,27,44,43213
44,34,26,47,43261
91,34,25,61,43308
211,29,23,47,43426
211,29,23,47,43426
309,40,21,55,43529
364,45,20,53,43587
417,35,19,81,43635
417,35,19,81,43635
498,98,18,106,43747
604,84,17,78,43846
682,44,16,62,43904
744,50,15,60,43969
1380,26,0,49,44593
28,25,25,62,44681
28,25,25,62,44681
148,23,23,51,44800
199,51,22,69,44865
268,57,21,64,44937
332,40,20,52,44992
384,35,19,50,45042
434,36,18,56,45092
542,29,16,49,45197
591,40,15,56,45251
698,29,13,66,45353
764,77,12,72,45443
836,38,11,58,45495
894,51,10,63,45560
957,47,9,52,45621
1009,30,8,51,45664
1060,42,7,54,45721
1114,37,6,46,45773
1160,24,5,54,45812
1214,56,4,62,45882
1276,41,3,52,45937
1328,36,2,55,45986
1383,47,1,53,46047
53,47,13,47,46157
100,35,12,51,46198
151,38,11,54,46250
205,43,10,55,46307
260,38,9,50,46359
365,50,7,55,46470
420,31,6,63,46516
546,25,4,55,46639
601,57,3,99,46710
601,57,3,99,46710
700,111,2,94,46836
794,44,1,57,46896
922,63,8,92,47034
922,63,8,92,47034
1014,92,7,75,47140
1089,28,6,54,47183
1210,52,4,59,47316
1319,33,2,52,47416
1371,40,1,48,47471
1419,27,0,93,47513
72,34,14,575,47609
72,34,14,575,47609
72,34,14,575,47609
72,34,14,575,47609
72,34,14,575,47609
72,34,14,575,47609
72,34,14,575,47609
72,34,14,575,47609
72,34,14,575,47609
72,34,14,575,47609
72,34,14,575,47609
72,34,14,575,47609
647,48,13,59,48191
755,26,11,52,48288
807,46,10,71,48350
807,46,10,71,48350
878,85,9,80,48441
958,42,8,58,48499
1016,52,7,65,48562
1081,49,6,62,48626
1143,46,5,64,48686
1207,55,4,59,48755
1266,33,3,54,48803
1426,45,0,62,48969
48,48,24,72,49032
120,70,23,71,49115
191,44,22,58,49173
249,42,21,59,49230
308,50,20,59,49293
367,41,19,55,49348
422,40,18,63,49402
485,54,17,60,49472
545,38,16,61,49524
606,56,15,59,49594
665,33,14,52,49642
717,43,13,61,49699
829,22,11,47,49800
876,44,10,57,49858
933,43,9,51,49915
984,31,8,47,49960
1031,33,7,45,50008
1076,29,6,46,50051
1122,33,5,45,50099
1167,29,4,62,50142
1297,43,2,53,50279
1350,37,1,76,50329
1350,37,1,76,50329
1426,86,0,94,50429
1426,86,0,94,50429
80,74,22,74,50517
154,49,21,56,50579
210,34,20,49,50627
307,30,18,47,50722
400,29,16,45,50815
445,30,15,49,50860
494,43,14,59,50916
765,48,9,67,51189
832,55,8,61,51260
893,34,7,80,51310
893,34,7,80,51310
973,97,6,69,51422
1042,33,5,53,51459
1095,40,4,47,51515
1142,41,3,60,51563
1202,55,2,59,51630
1261,34,1,102,51678
1261,34,1,102,51678
1261,34,1,102,51678
1363,143,0,156,51835
